Title,AD Related,ALG Related,Other Topics,Remarks
Conversational Speech Transcription  Using Context-Dependent Deep Neural Networks, , ,[DEEPLEARNING], 
Data-driven Web Design, , , , 
Learning the Central Events and Participants in Unlabeled Text,[ADTECH], , , 
Exemplar-SVMs for Visual Ob ject Detection   Label Transfer and Image Retrieval, ,[CLASSIFICATION], , 
Capturing topical content with frequency and exclusivity, , , , 
TrueLabel + Confusions: A Spectrum of Probabilistic Models in Analyzing Multiple Ratings,[ADTECH], , , 
Robust Multiple Manifold Structure Learning, ,[CLUSTERING], , 
Two Manifold Problems with Applications to Nonlinear System Identification, ,[CLUSTERING], , 
On the Difficulty of Nearest Neighbor Search, ,[CLASSIFICATION], , 
Learning Force Control Policies for Compliant Robotic Manipulation, , , , 
Estimation of Simultaneously Sparse and Low Rank Matrices, ,[SPARSE], , 
Online Structured Prediction via Coactive Learning, , , , 
Using CCA to improve CCA: A new spectral method for estimating vector models of words, , , , 
A Discrete Optimization Approach for Supervised Ranking with an Application to Reverse-Engineering Quality Ratings, , , , 
Bounded Planning in Passive POMDPs, , , , 
Minimizing The Misclassification Error Rate Using a Surrogate Convex Loss, , , , 
Bayesian Efficient Multiple Kernel Learning, ,[CLASSIFICATION], , 
Bayesian Nonexhaustive Learning for Online Discovery and Modeling of Emerging Classes, ,[CLASSIFICATION], , 
Exact Soft Confidence-Weighted Learning, , , , 
Distributed Tree Kernels, , , , 
Multiple Kernel Learning from Noisy Labels by Stochastic Programming, , , , 
Improved Nystrom Low-rank Decomposition with Priors, , , , 
Active Learning for Matching Problems, ,[CLASSIFICATION], , 
Ensemble Methods for Convex Regression with Applications to Geometric Programming Based Circuit Design, , , , 
Groupwise Constrained Reconstruction for Subspace Clustering, , , , 
Stability of matrix factorization for collaborative filtering, , , , 
Adaptive Regularization for Similarity Measures, , , , 
Linear Off-Policy Actor-Critic, , , , 
Modeling Latent Variable Uncertainty for Loss-based Learning, , , , 
Dimensionality Reduction by Local Discriminative Gaussians, ,[CLUSTERING], , 
Learning to Label Aerial Images from Noisy Data, , , , 
The Most Persistent Soft-Clique in a Set of Sampled Graphs, , , , 
Learning Efficient Structured Sparse Models, ,[SPARSE], , 
PAC Subset Selection in Stochastic Multi-armed Bandits,[BANDIT], , , 
Nonparametric variational inference, , , , 
The Convexity and Design of Composite Multiclass Losses, , , , 
Finding Botnets Using Minimal Graph Clusterings, ,[CLUSTERING], , 
Learning the Experts for Online Sequence Prediction, ,[TIMESERIES], , 
Efficient Active Algorithms for Hierarchical Clustering, ,[CLUSTERING], , 
Copula Mixture Model for Dependency-seeking Clustering, ,[CLUSTERING], , 
The Landmark Selection Method for Multiple Output Prediction, , , , 
Subgraph Matching Kernels for Attributed Graphs, , , , 
