Title,AD Related,ALG Related,Other Topics,Remarks
Rise and fall patterns of information diffusion: model and implications., , , , 
Efficient personalized pagerank with accuracy assurance.,[RANKING], , , 
PageRank on an evolving graph.,[RANKING], , , 
Information diffusion and external influence in networks., , , , 
The missing models: a data-driven approach for learning how networks grow., , , , 
Finding minimum representative pattern sets., , , , 
Mining emerging patterns by streaming feature selection., , , , 
Linear space direct pattern sampling using coupling from the past., , , , 
Mining top-K high utility itemsets., , , , 
Sampling minimal frequent boolean (DNF) patterns., , , , 
The contextual focused topic model., , , , 
Practical collapsed variational bayes inference for hierarchical dirichlet process., , , , 
Overlapping decomposition for causal graphical modeling., , , , 
TM-LDA: efficient online modeling of latent topic transitions in social media., , , , 
Multi-view clustering using mixture models in subspace projections., ,[CLUSTERING], , 
A simple methodology for soft cost-sensitive classification., , , , 
Intelligible models for classification and regression., , , , 
NASA: achieving lower regrets and faster rates via adaptive stepsizes., , , , 
Learning in non-stationary environments with class imbalance., , , , 
Linear support vector machines via dual cached loops., , , , 
Discovering regions of different functions in a city using human mobility and POIs., , , , 
Constructing popular routes from uncertain trajectories., , , , 
GetJar mobile application recommendations with very sparse datasets., , , , 
Differentially private transit data publication: a case study on the montreal transportation system., , , , 
Interaction and collective intelligence in internet computing., , , , 
Building an engine for big data., , ,[PERFORMANCE], 
A new challenge of information processing under the 21st century., , , , 
Developing data mining applications., , , , 
Learning from crowds in the presence of schools of thought., , , , 
Social sampling., , , , 
From user comments to on-line conversations.,[ADTECH], , , 
eTrust: understanding trust evolution in an online world.,[ADTECH], , , 
Searching and mining trillions of time series subsequences under dynamic time warping., ,[TIMESERIES], , 
Fast mining and forecasting of complex time-stamped events., , , , 
Mining recent temporal patterns for event detection in multivariate time series data., , , , 
A shapelet transform for time series classification., , , , 
Accelerated singular value thresholding for matrix completion., , , , 
Fast bregman divergence NMF using taylor expansion and coordinate descent., , , , 
GigaTensor: scaling tensor analysis up by 100 times - algorithms and discoveries., , , , 
Active learning for online bayesian matrix factorization., , , , 
