ë\„õÃ¶,ADóƒ?ò…?,ALGóƒ?ò…?,¿ ?¿ ?ÀI?¿ ?ê‰ÎòÐéÍ‘?èóóƒ?ò…?,¿€êÄ?ÀòÒ¹Î´ò…?
One theme in all views: modeling consensus topics in multiple contexts., , , , 
Representing documents through their readers.,[ADTECH], , , 
Text-based measures of document diversity.,[ADTECH], , , 
Diversity maximization under matroid constraints., , , , 
Connecting users across social media sites: a behavioral-modeling approach.,[ADTECH], , , 
Automatic selection of social media responses to news., , , , 
Estimating sharer reputation via social data calibration., , , , 
Linking named entities in Tweets with knowledge base via user interest modeling., , , , 
TurboGraph: a fast parallel graph engine handling billion-scale graphs in a single PC., , , , 
Beyond myopic inference in big data pipelines., , , , 
Big data analytics with small footprint: squaring the cloud., , , , 
Denser than the densest subgraph: extracting optimal quasi-cliques with quality guarantees., , , , 
Guided learning for role discovery (GLRD): framework  algorithms  and applications., , , , 
Redundancy-aware maximal cliques., , , , 
Selective sampling on graphs for classification., , , , 
Density-based logistic regression., ,[REGRESSION], , 
MI2LS: multi-instance learning from multiple informationsources., , , , 
Querying discriminative and representative samples for batch mode active learning., , , , 
Succinct interval-splitting tree for scalable similarity search of compound-protein pairs with property constraints., , , , 
Multi-source learning with block-wise missing data for Alzheimer's disease prediction., , , , 
Network discovery via constrained tensor analysis of fMRI data., , , , 
Learning to question: leveraging user preferences for shopping advice.,[ADTECH], , , 
Active learning and search on low-rank matrices., , , , 
LCARS: a location-content-aware recommender system.,[ADTECH], , , 
Comparing apples to oranges: a scalable solution with heterogeneous hashing., , , , 
Fast and scalable polynomial kernels via explicit feature maps., , , , 
Indexed block coordinate descent for large-scale linear classification with limited memory., , , , 
Recursive regularization for large-scale classification with hierarchical and graphical dependencies., , , , 
Discovering latent influence in online social activities via shared cascade poisson processes., , , , 
STRIP: stream learning of influence probabilities., , , , 
Fast structure learning in generalized stochastic processes with latent factors., , , , 
Robust sparse estimation of multiresponse regression and inverse covariance matrix via the L2 distance., ,[SPARSE][REGRESSION], , 
Exact sparse recovery with L0 projections., , , , 
Robust principal component analysis via capped norms., , , , 
Flexible and robust co-regularized multi-domain graph clustering., , , , 
Graph cluster randomization: network exposure to multiple universes., , , , 
Social influence based clustering of heterogeneous information networks., ,[CLUSTERING], , 
Confluence: conformity influence in large social networks., , , , 
The role of information diffusion in the evolution of social networks., , , , 
Extracting social events for learning better information diffusion models., , , , 
Model selection in markovian processes., , , , 
DTW-D: time series semi-supervised learning from a single example., ,[CLASSIFICATION], , 
Model-based kernel for efficient time series analysis., , , , 
Information cascade at group scale., , , , 
Mining lines in the sand: on trajectory discovery from untrustworthy data in cyber-physical system., , , , 
A general bootstrap performance diagnostic., , , , 
Subsampling for efficient and effective unsupervised outlier detection ensembles., , , , 
A phrase mining framework for recursive construction of a topical hierarchy., , , , 
Stochastic collapsed variational Bayesian inference for latent Dirichlet allocation., , , , 
WiseMarket: a new paradigm for managing wisdom of online social users., , , , 
Multi-label relational neighbor classification using social context features., , , , 
Scalable text and link analysis with mixed-topic link models., , , , 
Collaborative boosting for activity classification in microblogs., , , , 
Trace complexity of network inference., , , , 
Debiasing social wisdom., , , , 
Mining discriminative subgraphs from global-state networks., , , , 
Approximate graph mining with label costs., , , , 
Summarizing probabilistic frequent patterns: a fast approach., , , , 
Mining high utility episodes in complex event sequences., , , , 
Mining frequent graph patterns with differential privacy., , , , 
Statistical quality estimation for general crowdsourcing tasks., , , , 
Psychological advertising: exploring user psychology for click prediction in sponsored search., , , , 
SIGMa: simple greedy matching for aligning large knowledge bases., , , , 
Simple and deterministic matrix sketching., , , , 
A space efficient streaming algorithm for triangle counting using the birthday paradox., , , , 
Who  where  when and what: discover spatio-temporal topics for twitter users., , , , 
Multi-label classification by mining label and instance correlations from heterogeneous information networks., , , , 
Accurate intelligible models with pairwise interactions., , , , 
Spotting opinion spammers using behavioral footprints., , , , 
An efficient ADMM algorithm for multidimensional anisotropic total variation regularization problems., , , , 
Speeding up large-scale learning with a social prior., , , , 
FISM: factored item similarity models for top-N recommender systems., , , , 
Nonparametric hierarchal bayesian modeling in non-contractual heterogeneous survival data., , , , 
Cross-task crowdsourcing., , , , 
Evaluating the crowd with confidence., , , , 
Inferring social roles and statuses in social networks., , , , 
Adaptive collective routing using gaussian process dynamic congestion models., , , , 
Maximizing acceptance probability for active friending in online social networks., , , , 
Mining evolutionary multi-branch trees from text streams., , , , 
Active search on graphs., , , , 
Fast rank-2 nonnegative matrix factorization for hierarchical document clustering., , , , 
A &#34;semi-lazy&#34; approach to probabilistic path prediction., , , , 
Optimizing parallel belief propagation in junction treesusing regression., , , , 
Multi-source deep learning for information trustworthiness estimation., , , , 
Unsupervised link prediction using aggregative statistics on heterogeneous social networks., , , , 
Link prediction with social vector clocks., , , , 
Geo-spotting: mining online location-based services for optimal retail store placement., , , , 
Location-aware publish/subscribe., , , , 
Quadratic optimization to identify highly heritable quantitative traits from complex phenotypic features., , , , 
Repetition-aware content placement in navigational networks., , , , 
Scalable all-pairs similarity search in metric spaces., , , , 
Massively parallel expectation maximization using graphics processing units., , , , 
Auto-WEKA: combined selection and hyperparameter optimization of classification algorithms., , , , 
Direct optimization of ranking measures for learning to rank models., , , , 
Multi-space probabilistic sequence modeling., , , , 
Towards never-ending learning from time series streams., , , , 
Constrained stochastic gradient descent for large-scale least squares problem., , , , 
Making recommendations from multiple domains., , , , 
Cascading outbreak prediction in networks: a data-driven approach., , , , 
Combining latent factor model with location features for event-based group recommendation., , , , 
Cost-sensitive online active learning with application to malicious URL detection., , , , 
The bang for the buck: fair competitive viral marketing from the host perspective., , , , 
Modeling the dynamics of composite social networks., , , , 
A time-dependent enhanced support vector machine for time series regression., , , , 
A new collaborative filtering approach for increasing the aggregate diversity of recommender systems., , , , 
Scalable inference in max-margin topic models., , , , 
A data-driven method for in-game decision making in MLB: when to pull a starting pitcher., , , , 
Exploiting user clicks for automatic seed set generation for entity matching., , , , 
Silence is also evidence: interpreting dwell time for recommendation from psychological perspective., , , , 
Efficient single-source shortest path and distance queries on large graphs., , , , 
On community detection in real-world networks and the importance of degree assortativity., , , , 
Trial and error in influential social networks., , , , 
Collaborative matrix factorization with multiple similarities for predicting drug-target interactions., , , , 
FeaFiner: biomarker identification from medical data through feature generalization and selection., , , , 
Learning geographical preferences for point-of-interest recommendation., , , , 
Learning mixed kronecker product graph models with simulated method of moments., , , , 
Measuring spontaneous devaluations in user preferences., , , , 
Mining evidences for named entity disambiguation., , , , 
Privacy-preserving data exploration in genome-wide association studies., , , , 
Synthetic review spamming and defense., , , , 
Information cartography: creating zoomable  large-scale maps of information., , , , 
Restreaming graph partitioning: simple versatile algorithms for advanced balancing., , , , 
Understanding evolution of research themes: a probabilistic generative model for citations., , , , 
On the equivalent of low-rank linear regressions and linear discriminant analysis based regressions., , , , 
To buy or not to buy: that is the question.,[ADTECH], , , 
Mining the digital universe of data to develop personalized cancer therapies., , , , 
The business impact of deep learning., , ,[DEEPLEARNING], 
Adaptive adversaries: building systems to fight fraud and cyber intruders., , , , 
Targeting and influencing at scale: from presidential elections to social good., , , , 
Hadoop: a view from the trenches.,[ADTECH], , , 
Cyber security: how visual analytics unlock insight., , , , 
Using &#34;big data&#34; to solve &#34;small data&#34; problems., , , , 
Financing lead triggers: empowering sales reps through knowledge discovery and fusion., , , , 
Query clustering based on bid landscape for sponsored search auction optimization., ,[CLUSTERING], , 
Analysis of advanced meter infrastructure data of water consumption in apartment buildings., , , , 
Online controlled experiments at large scale., , , , 
iHR: an online recruiting system for Xiamen Talent Service Center., , , , 
Dynamic memory allocation policies for postings in real-time Twitter search., , , , 
A unified search federation system based on online user feedback., , , , 
Amplifying the voice of youth in Africa via text analytics., , , , 
Scalable supervised dimensionality reduction using clustering., , , , 
Ad click prediction: a view from the trenches., , , , 
Modeling and probabilistic reasoning of population evacuation during large-scale disaster., , , , 
Using co-visitation networks for detecting large scale online display advertising exchange fraud., , , , 
An integrated framework for optimizing automatic monitoring systems in large IT infrastructures., , , , 
Improving quality control by early prediction of manufacturing outcomes., , , , 
A data mining driven risk profiling method for road asset management., , , , 
Why people hate your app: making sense of user feedback in a mobile app store., , , , 
Towards long-lead forecasting of extreme flood events: a data mining framework for precipitation cluster precursors identification., , , , 
Predictive model performance: offline and online evaluations., , , , 
Uncertainty in online experiments with dependent data: an evaluation of bootstrap methods., , , , 
Knowledge discovery from massive healthcare claims data., , , , 
Palette power: enabling visual search through colors., , , , 
Heat pump detection from coarse grained smart meter data with positive and unlabeled learning., , , , 
Empirical bayes model to combine signals of adverse drug reactions., , , , 
Efficiently rewriting large multimedia application execution traces with few event sequences., , , , 
Discriminant malware distance learning on structural information for automated malware classification., , , , 
Assessing team strategy using spatiotemporal data., , , , 
Exploratory analysis of highly heterogeneous document collections., , , , 
Experience from hosting a corporate prediction market: benefits beyond the forecasts., , , , 
Detecting insider threats in a real corporate database of computer usage activity., , , , 
Mining for geographically disperse communities in social networks by leveraging distance modularity., , , , 
An integrated framework for suicide risk prediction., , , , 
Gaussian multiple instance learning approach for mapping the slums of the world using very high resolution imagery., , , , 
A privacy preserving framework for managing vehicle data in road pricing systems., , , , 
U-Air: when urban air quality inference meets big data., , , , 
Panel: a data scientist's guide to making money from start-ups., , , , 
