Title,AD Related,ALG Related,Other Topics,Remarks
Prediction of human emergency behavior and their mobility following large-scale disaster., , , , 
Inferring user demographics and social strategies in mobile social networks.,[ADTECH], , , 
Travel time estimation of a path using sparse trajectories., ,[SPARSE], , 
Modeling human location data with mixtures of kernel densities., , , , 
A cost-effective recommender system for taxi drivers.,[ADTECH], , , 
LUDIA: an aggregate-constrained low-rank reconstruction algorithm to leverage publicly released health data., , , , 
People on drugs: credibility of user statements in health communities., , , , 
Unfolding physiological state: mortality modelling in intensive care units., , , , 
Unsupervised learning of disease progression models., , , , 
Good-enough brain model: challenges  algorithms and discoveries in multi-subject experiments., , , , 
FUNNEL: automatic mining of spatially coevolving epidemics., , , , 
Marble: high-throughput phenotyping from electronic health records via sparse nonnegative tensor factorization., , , , 
Scalable noise mining in long-term electrocardiographic time-series to predict death following heart attacks., , , , 
From micro to macro: data driven phenotyping by densification of longitudinal electronic medical records., , , , 
Clinical risk prediction with multilinear sparse logistic regression., ,[SPARSE][REGRESSION], , 
Dual beta process priors for latent cluster discovery in chronic obstructive pulmonary disease., , , , 
COM: a generative model for group recommendation.,[ADTECH], , , 
Leveraging user libraries to bootstrap collaborative filtering., , , , 
Topic-factorized ideal point estimation model for legislative voting network., , , , 
Jointly modeling aspects  ratings and sentiments for movie recommendation (JMARS)., , , , 
User effort minimization through adaptive diversification., , , , 
Relevant overlapping subspace clusters on categorical data., , , , 
Batch discovery of recurring rare classes toward identifying anomalous samples., , , , 
A dirichlet multinomial mixture model-based approach for short text clustering., , , , 
Representative clustering of uncertain data., ,[CLUSTERING], , 
SMVC: semi-supervised multi-view clustering in subspace projections., ,[CLUSTERING], , 
FastXML: a fast  accurate and stable tree-classifier for extreme multi-label learning., , , , 
A multi-class boosting method with direct optimization., , , , 
An efficient algorithm for weak hierarchical lasso., , , , 
Online multiple kernel regression., ,[REGRESSION], , 
Class-distribution regularized consensus maximization for alleviating overfitting in model combination., , , , 
Large margin distribution machine., , , , 
Distance metric learning using dropout: a structured regularization approach., , , , 
Box drawings for learning with imbalanced data., , , , 
Incremental and decremental training for linear classification., ,[CLASSIFICATION], , 
Supervised deep learning with auxiliary networks., , ,[DEEPLEARNING], 
Sleep analytics and online selective anomaly detection., , , , 
GLAD: group anomaly detection in social media analysis., , , , 
FBLG: a simple and effective approach for temporal dependence discovery from time series data., ,[TIMESERIES], , 
Learning time-series shapelets., ,[TIMESERIES], , 
Utilizing temporal patterns for estimating uncertainty in interpretable early decision making., ,[TIMESERIES], , 
Prototype-based learning on concept-drifting data streams., , , , 
Detecting moving object outliers in massive-scale trajectory streams., , , , 
The setwise stream classification problem., , , , 
Streamed approximate counting of distinct elements: beating optimal batch methods., , , , 
Time-varying learning and content analytics via sparse factor analysis., , , , 
Active-transductive learning with label-adapted kernels., , , , 
Active learning for sparse bayesian multilabel classification., ,[SPARSE][CLASSIFICATION], , 
Large-scale adaptive semi-supervised learning via unified inductive and transductive model., ,[CLASSIFICATION], , 
Active semi-supervised learning using sampling theory for graph signals., ,[CLASSIFICATION], , 
Active collaborative permutation learning.,[ADTECH], , , 
Effective global approaches for mutual information based feature selection., , , , 
Gradient boosted feature selection., , , , 
Simultaneous feature and feature group selection through hard thresholding., , , , 
Safe and efficient screening for sparse support vector machine., , , , 
Factorized sparse learning models with interpretable high order feature interactions., , , , 
Parallel gibbs sampling for hierarchical dirichlet processes via gamma processes equivalence., , , , 
Empirical glitch explanations., , , , 
Learning with dual heterogeneity: a nonparametric bayes model., , , , 
Online chinese restaurant process., , , , 
Knowledge vault: a web-scale approach to probabilistic knowledge fusion., , , , 
Improving the modified nystr&#246;m method using spectral shifting., , , , 
Fast flux discriminant for large-scale sparse nonlinear classification., , , , 
Scalable histograms on large probabilistic data., , , , 
Correlation clustering in MapReduce., ,[CLUSTERING], , 
Scaling out big data missing value imputations: pythia vs. godzilla., , , , 
Efficient mini-batch training for stochastic optimization., , , , 
Streaming submodular maximization: massive data summarization on the fly., , , , 
Distance queries from sampled data: accurate and efficient., , , , 
Improved testing of low rank matrices., , , , 
DeepWalk: online learning of social representations., , , , 
Open-domain quantity queries on web tables: annotation  response  and consensus models., , , , 
Crowdsourced time-sync video tagging using temporal and personalized topic modeling., , , , 
Identifying and labeling search tasks via query-based hawkes processes., , , , 
LaSEWeb: automating search strategies over semi-structured web data., , , , 
Personalized search result diversification via structured learning., , , , 
Efficient multi-task feature learning with calibration.,[ADTECH], , , 
Multi-task copula by sparse graph regression.,[ADTECH],[SPARSE][REGRESSION], , 
Unifying learning to rank and domain adaptation: enabling cross-task document scoring., , , , 
Scalable heterogeneous translated hashing.,[ADTECH], , , 
Matching users and items across domains to improve the recommendation quality., , , , 
Optimal recommendations under attraction  aversion  and social influence.,[ADTECH], , , 
ClusCite: effective citation recommendation by information network-based clustering., , , , 
GeoMF: joint geographical modeling and matrix factorization for point-of-interest recommendation.,[ADTECH], , , 
Detecting anomalies in dynamic rating data: a robust probabilistic model for rating evolution., , , , 
Product selection problem: improve market share by learning consumer behavior., , ,[UX], 
TCS: efficient topic discovery over crowd-oriented service data.,[ADTECH], , , 
SigniTrend: scalable detection of emerging topics in textual streams by hashed significance thresholds., , , , 
Experiments with non-parametric topic models., , , , 
Reducing the sampling complexity of topic models., , , , 
Dynamics of news events and social media reaction., , , , 
Differentially private network data release via structural inference., , , , 
Exponential random graph estimation under differential privacy., , , , 
Top-k frequent itemsets via differentially private FP-trees., , , , 
CatchSync: catching synchronized behavior in large directed graphs., , , , 
Mobile app recommendations with security and privacy awareness., , , , 
Fast DTT: a near linear algorithm for decomposing a tensor into factor tensors., , , , 
Clustering and projected clustering with adaptive neighbors., ,[CLUSTERING], , 
LWI-SVD: low-rank  windowed  incremental singular value decompositions on time-evolving data sets., , , , 
Provable deterministic leverage score sampling., , , , 
Semantic visualization for spherical representation., , , , 
Grouping students in educational settings., , , , 
Inferring gas consumption and pollution emission of vehicles throughout a city., , , , 
Methods for ordinal peer grading., , , , 
Exploiting geographic dependencies for real estate appraisal: a mutual perspective of ranking and clustering., , , , 
Towards scalable critical alert mining., , , , 
From labor to trader: opinion elicitation via online crowds as a market., , , , 
Optimal real-time bidding for display advertising.,[ADTECH], , , 
Quantifying herding effects in crowd wisdom., , , , 
Modeling delayed feedback in display advertising., , , , 
Networked bandits with disjoint linear payoffs., , , , 
Mining topics in documents: standing on the shoulders of big data.,[ADTECH], , , 
Integrating spreadsheet data via accurate and low-effort extraction., , , , 
Sentiment expression conditioned by affective transitions and social forces., , , , 
Entity profiling with varying source reliabilities., , , , 
Open question answering over curated and extracted knowledge bases., , , , 
Non-parametric scan statistics for event detection and forecasting in heterogeneous social media graphs., , , , 
Event detection in activity networks., , , , 
FEMA: flexible evolutionary multi-faceted analysis for dynamic behavioral pattern discovery., , , , 
Profit-maximizing cluster hires., , , , 
On social event organization., , , , 
A bayesian framework for estimating properties of network diffusions., , , , 
Scalable diffusion-aware optimization of network topology., , , , 
Probabilistic latent network visualization: inferring and embedding diffusion networks., , , , 
MMRate: inferring multi-aspect diffusion networks with multi-pattern cascades., , , , 
Stability of influence maximization., , , , 
Who to follow and why: link prediction with explanations., , , , 
Activity-edge centric multi-label classification for mining heterogeneous information networks., , , , 
Meta-path based multi-network collective link prediction., , , , 
Fast influence-based coarsening for large networks., , , , 
Minimizing seed set selection with probabilistic coverage guarantee in a social network., , , , 
Core decomposition of uncertain graphs., , , , 
Learning multifractal structure in large networks., , , , 
Temporal skeletonization on sequential data: patterns  categorization  and visualization., , , , 
Focused clustering and outlier detection in large attributed graphs., ,[CLUSTERING], , 
Inside the atoms: ranking on a network of networks., , , , 
Community membership identification from small seed sets., , , , 
Community detection in graphs through correlation., , , , 
Heat kernel based community detection., , , , 
On the permanence of vertices in network communities., , , , 
The interplay between dynamics and networks: centrality  communities  and cheeger inequality., , , , 
Almost linear-time algorithms for adaptive betweenness centrality using hypergraph sketches., , , , 
Efficient SimRank computation via linearizationPublication of this article pending inquiry., , , , 
FAST-PPR: scaling personalized pagerank estimation for large graphs., , , , 
Graph sample and hold: a framework for big-graph analytics., , , , 
Balanced graph edge partition., , , , 
Using strong triadic closure to characterize ties in social networks., , , , 
Network structural analysis via core-tree-decomposition Publication of this article pending inquiry., , , , 
Analyzing expert behaviors in collaborative networks., , , , 
Predicting long-term impact of CQA posts: a comprehensive viewpoint., , , , 
Who are experts specializing in landscape photography?: analyzing topic-specific authority on content sharing services., , , , 
Frontiers in E-commerce personalization., , , , 
Predictive modeling in practice: a case study from sprint., , , , 
Medicine in the age of electronic health records., , , , 
Algorithms for interpretable machine learning., , , , 
Data science through the lens of social science., , , , 
Information environment security., , , , 
Big data for social good.,[ADTECH], , , 
Bringing data science to the speakers of every language., , , , 
Guilt by association: large scale malware detection by mining file-relation graphs., , , , 
Mining text snippets for images on the web., , , , 
Predicting student risks through longitudinal analysis., , , , 
Novel geospatial interpolation analytics for general meteorological measurements., , , , 
Targeting direct cash transfers to the extremely poor., , , , 
Scalable hands-free transfer learning for online advertising., , , , 
Correlating events with time series for incident diagnosis., , , , 
Proactive workflow modeling by stochastic processes with application to healthcare operation and management., , , , 
Activity ranking in LinkedIn feed.,[ADTECH], , , 
Budget pacing for targeted online advertisements at LinkedIn., , , , 
Large scale predictive modeling for micro-simulation of 3G air interface load., , , , 
Unveiling clusters of events for alert and incident management in large-scale enterprise it., , , , 
Style in the long tail: discovering unique interests with latent variable models in large scale social E-commerce., , , , 
Corporate residence fraud detection., , , , 
Modeling mass protest adoption in social network communities using geometric brownian motion., , , , 
A case study: privacy preserving release of spatio-temporal density in paris., , , , 
Scalable near real-time failure localization of data center networks., , , , 
Improving management of aquatic invasions by integrating shipping network  ecological  and environmental data: data mining for social good., , , , 
FoodSIS: a text mining system to improve the state of food safety in singapore., , , , 
A hazard based approach to user return time prediction., , , , 
Predicting employee expertise for talent management in the enterprise., , , , 
Applying data mining techniques to address critical process optimization needs in advanced manufacturing., , , , 
EARS (earthquake alert and report system): a real time decision support system for earthquake crisis management., , , , 
Knock it off: profiling the online storefronts of counterfeit merchandise., , , , 
Up next: retrieval methods for large scale related video suggestion., , , , 
Identifying tourists from public transport commuters., , , , 
Spatially embedded co-offence prediction using supervised learning., , , , 
'Beating the news' with EMBERS: forecasting civil unrest using open source indicators., , , , 
LASTA: large scale topic assignment on multiple social networks., , , , 
New algorithms for parking demand management and a city-scale deployment., , , , 
Reducing gang violence through network influence based targeting of social programs., , , , 
Modeling impression discounting in large-scale recommender systems., , , , 
ISIS: a networked-epidemiology based pervasive web app for infectious disease pandemic planning and response., , , , 
Seven rules of thumb for web site experimenters., , , , 
Log-based predictive maintenance., , , , 
Automated hypothesis generation based on mining scientific literature., , , , 
A system to grade computer programming skills using machine learning., , , , 
An empirical study of reserve price optimisation in real-time bidding.,[ADTECH], , , 
Large-scale high-precision topic modeling on twitter.,[ADTECH], , , 
Large scale visual recommendations from street fashion images., , , , 
We know what you want to buy: a demographic-based system for product recommendation on microblogs.,[ADTECH], , , 
Modeling professional similarity by mining professional career trajectories., , , , 
Filling context-ad vocabulary gaps with click logs., , , , 
Does social good justify risking personal privacy?, , , , 
