Title,AD Related,ALG Related,Other Topics,Remarks,,
Large-Scale Distributed Bayesian Matrix Factorization using Stochastic Gradient MCMC. ,  ,  ,  ,  ,,
TimeMachine: Timeline Generation for Knowledge-Base Entities. ,  ,  ,  ,  ,,
Estimating Local Intrinsic Dimensionality. ,  ,  ,  ,  ,,
Portraying Collective Spatial Attention in Twitter. ,  ,  ,  ,  ,,
Accelerating Dynamic Time Warping Clustering with a Novel Admissible Pruning Strategy. ,  ,  ,  ,  ,,
Efficient Online Evaluation of Big Data Stream Classifiers. ,  ,  ,  ,  ,,
Dynamically Modeling Patient's Health State from Electronic Medical Records: A Time Series Approach. ,  ,  ,  ,  ,,
Facets: Fast Comprehensive Mining of Coevolving High-order Time Series. ,  ,  ,  ,  ,,
Online Outlier Exploration Over Large Datasets. ,  ,  ,  ,  ,,
BatchRank: A Novel Batch Mode Active Learning Framework for Hierarchical Classification. ,  ,  ,  ,  ,,
On the Formation of Circles in Co-authorship Networks. ,  ,  ,  ,  ,,
Heterogeneous Network Embedding via Deep Architectures. ,  ,  ,  ,  ,,
Differentially Private High-Dimensional Data Publication via Sampling-Based Inference. ,  ,  ,  ,  ,,
Efficient Algorithms for Public-Private Social Networks. ,  ,  ,  ,  ,,
Warm Start for Parameter Selection of Linear Classifiers. ,  ,  ,  ,  ,,
Stream Sampling for Frequency Cap Statistics. ,  ,  ,  ,  ,,
Adaptation Algorithm and Theory Based on Generalized Discrepancy. ,  ,  ,  ,  ,,
Optimal Action Extraction for Random Forests and Boosted Trees. ,  ,  ,  ,  ,,
Dynamic Matrix Factorization with Priors on Unknown Values. ,  ,  ,  ,  ,,
CoupledLP: Link Prediction in Coupled Networks. ,  ,  ,  ,  ,,
Unsupervised Feature Selection with Adaptive Structure Learning. ,  ,  ,  ,  ,,
Dirichlet-Hawkes Processes with Applications to Clustering Continuous-Time Document Streams. ,  ,  ,  ,  ,,
Beyond Triangles: A Distributed Framework for Estimating 3-profiles of Large Graphs. ,  ,  ,  ,  ,,
Hierarchical Graph-Coupled HMMs for Heterogeneous Personalized Health Data. ,  ,  ,  ,  ,,
More Constraints, Smaller Coresets: Constrained Matrix Approximation of Sparse Big Data. ,  ,  ,  ,  ,
Certifying and Removing Disparate Impact. ,  ,  ,  ,  ,,
RSC: Mining and Modeling Temporal Activity in Social Media. ,  ,  ,  ,  ,,
A Clustering-Based Framework to Control Block Sizes for Entity Resolution. ,  ,  ,  ,  ,,
Who Supported Obama in 2012?: Ecological Inference through Distribution Regression. ,  ,  ,  ,  ,,
Real Estate Ranking via Mixed Land-use Latent Models. ,  ,  ,  ,  ,,
Adaptive Message Update for Fast Affinity Propagation. ,  ,  ,  ,  ,,
Monitoring Least Squares Models of Distributed Streams. ,  ,  ,  ,  ,,
Reconstructing Textual Documents from n-grams. ,  ,  ,  ,  ,,
Anatomical Annotations for Drosophila Gene Expression Patterns via Multi-Dimensional Visual Descriptors Integration: Multi-Dimensional Feature Learning. ,  ,  ,  ,  ,,
Selective Hashing: Closing the Gap between Radius Search and k-NN Search. ,  ,  ,  ,  ,,
Using Local Spectral Methods to Robustify Graph-Based Learning Algorithms. ,  ,  ,  ,  ,,
