ICML2014, , ,Priority,Conference
Austerity in MCMC Land: Cutting the Metropolis-Hastings Budget,  ,[REGRESSION],1,ICML2014
The Inverse Regression Topic Model,  ,[REGRESSION],1,ICML2014
Latent Variable Copula Inference for Bundle Pricing from Retail Transaction Data,[ADPRICE],  ,1,ICML2014
Learning Theory and Algorithms for revenue optimization in second price auctions with reserve,[ADPRICE],  ,1,ICML2014
Optimal Budget Allocation: Theoretical Guarantee and Efficient Algorithm,[ADTECH][ADPRICE],  ,1,ICML2014
Admixture of Poisson MRFs: A Topic Model with Word Dependencies,[RANKING],  ,1,ICML2014
Heavy-tailed regression with a generalized median-of-means,  ,[REGRESSION],1,ICML2014
Elementary Estimators for High-Dimensional Linear Regression,  ,[REGRESSION],1,ICML2014
Local algorithms for interactive clustering,  ,[CLUSTERING],1,ICML2014
A Single-Pass Algorithm for Efficiently Recovering Sparse Cluster Centers of High-dimensional Data,  ,[CLUSTERING],1,ICML2014
Statistical analysis of stochastic gradient methods for generalized linear models,  ,[REGRESSION],1,ICML2014
Topic Modeling using Topics from Many Domains Lifelong Learning and Big Data,[ADTECH][CTR][CV][RANKING],  ,1,ICML2014
K-means recovers ICA filters when independent components are sparse,  ,[CLUSTERING],1,ICML2014
Coupled Group Lasso for Web-Scale CTR Prediction in Display Advertising,[CTR],  ,1,ICML2014
Hard-Margin Active Linear Regression,  ,[REGRESSION],1,ICML2014
Distributed Stochastic Gradient MCMC,  ,[REGRESSION],1,ICML2014
Deep AutoRegressive Networks,  ,[REGRESSION],1,ICML2014
Probabilistic Partial Canonical Correlation Analysis,  ,[RECOMMENDATION],1,ICML2014
Multi-period Trading Prediction Markets with Connections to Machine Learning,[CTR][CV],  ,1,ICML2014
118  Sparse Recovery under Linear Transformation , ,[REGRESSION],1,ICML2013
246  Noisy and Missing Data Regression: Distribution-Oblivious Support Recovery , ,[REGRESSION],1,ICML2013
403  Smooth Sparse Coding via Marginal Regression for Learning Sparse Representations , ,[REGRESSION],1,ICML2013
876  Robust Sparse Regression under Adversarial Corruption , ,[SPARSE][REGRESSION],1,ICML2013
393  Mean Reversion with a Variance Threshold , ,[REGRESSION],1,ICML2013
300  Learning Sparse Penalties for Change-point Detection using Max Margin Interval Regression , ,[SPARSE][REGRESSION],1,ICML2013
821  Factorial Multi-Task Learning : A Bayesian Nonparametric Approach ,[ADTECH],[CLASSIFICATION],1,ICML2013
692  Efficient Multi-label Classification with Many Labels , ,[CLASSIFICATION],1,ICML2013
On the Difficulty of Nearest Neighbor Search, ,[CLASSIFICATION],1,ICML2012
Cross-Domain Multitask Learning with Latent Probit Models,[ADTECH], ,1,ICML2012
Convex Multitask Learning with Flexible Task Clusters,[ADTECH], ,1,ICML2012
Clustering to Maximize the Ratio of Split to Diameter, ,[CLUSTERING],1,ICML2012
Multi-level Lasso for Sparse Multi-task Regression,[ADTECH],[REGRESSION],1,ICML2012
Collaborative Topic Regression with Social Matrix Factorization for Recommendation Systems,[ADTECH],[REGRESSION],1,ICML2012
